round	catalog	objects_before	objects_after	delta	expected_min
1	lakecat	71806	73640	1834	1834
1	nessie	73640	75347	1707	1703
1	gravitino	75347	77159	1812	1674
1	polaris	77159	78930	1771	1621
2	nessie	78930	81027	2097	2092
2	gravitino	81027	82917	1890	1752
2	polaris	82917	84808	1891	1731
2	lakecat	84808	86639	1831	1831
3	gravitino	86639	88563	1924	1772
3	polaris	88563	90511	1948	1788
3	lakecat	90511	92347	1836	1836
3	nessie	92347	94549	2202	2195
4	polaris	94549	96583	2034	1890
4	lakecat	96583	98552	1969	1969
4	nessie	98552	100926	2374	2366
4	gravitino	100926	102902	1976	1825
5	lakecat	102902	104947	2045	2045
5	nessie	104947	107346	2399	2394
5	gravitino	107346	109362	2016	1861
5	polaris	109362	111440	2078	1928
6	nessie	111440	113596	2156	2152
6	gravitino	113596	115705	2109	1955
6	polaris	115705	117804	2099	1950
6	lakecat	117804	119854	2050	2050
