round	catalog	namespace	valid	exit_status	seq_per_s	p50_ms	p99_ms	concurrent_per_s	conflict_pct	error_pct	ok	conflicts	errors	object_delta	expected_min
1	lakecat	final3cca8d1cv3r1lakecat	yes	0	287.522662788	3.129291000	6.003541000	130.519812800	85.190782017	0.000000000	784	4510	0	1834	1834
1	nessie	final3cca8d1cv3r1nessie	no	1	125.409522774	7.343333000	13.717041000	108.564665136	80.277861673	0.868263473	653	2658	29	1707	1703
1	gravitino	final3cca8d1cv3r1gravitino	yes	0	54.374317290	17.889458000	28.179542000	92.733741047	0.636942675	0.000000000	624	4	0	1812	1674
1	polaris	final3cca8d1cv3r1polaris	yes	0	79.295021232	12.111875000	18.386500000	87.212638410	6.085526316	0.000000000	571	37	0	1771	1621
2	nessie	final3cca8d1cv3r2nessie	no	1	215.942929677	4.346250000	8.851000000	173.347005082	80.298733220	0.376718779	1042	4247	20	2097	2092
2	gravitino	final3cca8d1cv3r2gravitino	yes	0	63.869554326	15.282250000	24.452917000	110.124513594	1.404494382	0.000000000	702	10	0	1890	1752
2	polaris	final3cca8d1cv3r2polaris	yes	0	103.749720629	8.954500000	21.968833000	102.960958439	6.456043956	0.000000000	681	47	0	1891	1731
2	lakecat	final3cca8d1cv3r2lakecat	yes	0	285.222449996	3.156167000	6.062583000	130.008921555	85.352588147	0.000000000	781	4551	0	1831	1831
3	gravitino	final3cca8d1cv3r3gravitino	yes	0	69.107205256	14.048916000	19.225375000	105.433988502	1.095890411	0.000000000	722	8	0	1924	1772
3	polaris	final3cca8d1cv3r3polaris	yes	0	121.981129002	7.834292000	12.094542000	112.522535193	5.987261146	0.000000000	738	47	0	1948	1788
3	lakecat	final3cca8d1cv3r3lakecat	yes	0	287.603287939	3.121416000	5.640875000	130.886649369	85.346756152	0.000000000	786	4578	0	1836	1836
3	nessie	final3cca8d1cv3r3nessie	no	1	274.696160479	3.464334000	5.869042000	190.005562132	81.706342866	0.366125438	1145	5114	23	2202	2195
4	polaris	final3cca8d1cv3r4polaris	yes	0	135.026884720	7.115041000	11.532667000	129.142092442	3.559127440	0.000000000	840	31	0	2034	1890
4	lakecat	final3cca8d1cv3r4lakecat	yes	0	341.648186390	2.696625000	5.257291000	153.023513094	85.421954315	0.000000000	919	5385	0	1969	1969
4	nessie	final3cca8d1cv3r4nessie	no	1	321.282370566	2.972875000	5.158375000	218.964124748	80.996389892	0.402703869	1316	5609	28	2374	2366
4	gravitino	final3cca8d1cv3r4gravitino	yes	0	74.246226749	12.800917000	23.289625000	116.884276119	0.641025641	0.000000000	775	5	0	1976	1825
5	lakecat	final3cca8d1cv3r5lakecat	yes	0	335.469500459	2.670666000	5.463209000	165.677528501	85.472331727	0.000000000	995	5854	0	2045	2045
5	nessie	final3cca8d1cv3r5nessie	no	1	312.276608244	2.985708000	5.602000000	223.838661980	80.159433127	0.250331321	1344	5430	17	2399	2394
5	gravitino	final3cca8d1cv3r5gravitino	yes	0	77.954517344	12.474334000	17.734333000	119.817367826	1.097560976	0.000000000	811	9	0	2016	1861
5	polaris	final3cca8d1cv3r5polaris	yes	0	150.300682061	6.287250000	9.555792000	135.173848737	4.043715847	0.000000000	878	37	0	2078	1928
6	nessie	final3cca8d1cv3r6nessie	no	1	328.865823436	2.847375000	5.550083000	183.521274415	82.066720911	0.146246344	1102	5043	9	2156	2152
6	gravitino	final3cca8d1cv3r6gravitino	yes	0	75.710381479	12.837791000	19.003000000	126.211711540	0.658616905	0.000000000	905	6	0	2109	1955
6	polaris	final3cca8d1cv3r6polaris	yes	0	153.354758909	5.958334000	10.245291000	135.626889461	3.846153846	0.000000000	900	36	0	2099	1950
6	lakecat	final3cca8d1cv3r6lakecat	yes	0	342.629113236	2.627750000	5.686000000	166.535872335	85.513544836	0.000000000	1000	5903	0	2050	2050
